"nest_id","nest_date","sensor_id","comm_id","latitude","longitude","clutch_datetime","active"
1,"2014-05-31","AA0005","C-AA0002","3514.6053N","07531.5281","0000-00-00 00:00:00",1
3,"2014-06-20","AA0013","C-AA0016","3746.3898N",12226.3516,"0000-00-00 00:00:00",1
6,"2014-07-13","AA0008","C-AA0014","3515.0057N","07531.3981","0000-00-00 00:00:00",1
7,"2014-07-13","AA0009","C-AA0013","3514.2339N","07531.5784","0000-00-00 00:00:00",1
9,"2014-07-16","AA0010","C-AA0006","3513.1929N","07539.5168","0000-00-00 00:00:00",1
10,"2014-07-20","AA0011","C-AA0015","3746.3292N",12226.3645,"0000-00-00 00:00:00",1
12,"2014-07-22","AA0020","C-AA0010","3746.3473N",12226.3645,"0000-00-00 00:00:00",1
13,"2014-07-22","AA0021","C-AA0011","3746.3267N",12226.3735,"0000-00-00 00:00:00",1
14,"2014-07-22","AA0022","C-AA0010","3746.3106N",12226.3799,"0000-00-00 00:00:00",1
16,"2014-07-23","AA0012","C-AA0007","3513.4195N","07538.7212","0000-00-00 00:00:00",1
17,"2014-07-28","AA0014","C-AA0003","3514.0678N","07535.0056","0000-00-00 00:00:00",1
23,"2014-07-30","AA0029","C-AA0014","3746.3389N",12226.3671,"0000-00-00 00:00:00",1
30,"2014-08-05","AA0015","C-AA0016","3746.3473N",12226.3709,"0000-00-00 00:00:00",1
31,"2014-05-31","AA0006","C-AA0004","3746.3222N",12226.3645,"0000-00-00 00:00:00",1
35,"2014-06-30","AA0007","H-AA0005","3513.6423N","07532.4693","0000-00-00 00:00:00",1
36,"2014-06-30","AA0003","H-AA0005","3514.7907N","07531.4702","0000-00-00 00:00:00",1
37,"2014-07-08","AA0004","H-AA0005","3514.0774N","07534.8910","0000-00-00 00:00:00",1
38,"2014-07-15","AA0001","H-AA0008","3746.3228N",12226.3516,"0000-00-00 00:00:00",1
39,"2014-07-15","AA0002","H-AA0008","3746.2855N",12226.3619,"0000-00-00 00:00:00",1
42,"2014-07-29","AA0016","H-AA0005","3520.1646N","07530.2291","0000-00-00 00:00:00",1
43,"2014-07-31","AA0024","H-AA0005","3516.1728N","07531.0930","0000-00-00 00:00:00",1
45,"2014-08-02","AA0018","H-AA0008","3350.9912N","07758.7969","0000-00-00 00:00:00",1
46,"2014-08-02","AA0019","H-AA0008","3350.9899N","07758.7956","0000-00-00 00:00:00",1
47,"2014-08-06","AA0017","H-AA0005","3525.8081N","07529.0768","0000-00-00 00:00:00",1
48,"2014-08-10","AA0025","H-AA0005","3513.9796N","07536.0986","0000-00-00 00:00:00",1
49,"2014-08-12","AA0028","H-AA0005","3513.8727N","07531.6505","0000-00-00 00:00:00",1
50,"2014-08-21","AA0026","H-AA0005","3516.5384N","07531.0389","0000-00-00 00:00:00",1
51,"2014-08-27","AA0027","H-AA0005","3513.8721N","07531.6479","0000-00-00 00:00:00",1
